tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***71729,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0811,NR,3148 DUNDAS ST W,,,ON
***78460,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0811,NR,882 PALMERSTON AVE,,,ON
***32373,20161231,314,PARK - NOT WITHIN PERIOD  ,30,0812,,6 SHERWOOD AVE,,,ON
***35814,20161231,406,PARK-VEH. W/O VALID ONT PLATE,40,0812,NR,21 MUNHAM GT,,,ON
***37309,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0812,NR,387 SPADINA RD,,,ON
***50819,20161231,415,PARK COMMERC LOAD ZONE NOT LDG,40,0812,NR,151 FRONT ST W,,,ON
***60171,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0812,NR,399 SPADINA AVE,,,ON
***61120,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0812,N/S,FRONT ST E,E/O,COOPERAGE ST,ON
***71874,20161231,3,PARK ON PRIVATE PROPERTY,30,0812,AT,50 BRUYERES MEWS,,,ON
***98451,20161231,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0813,NR,1 WOOD ST,,,ON
***35815,20161231,406,PARK-VEH. W/O VALID ONT PLATE,40,0813,NR,21 MUNHAM GT,,,ON
***60172,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0813,NR,407 SPADINA AVE,,,NJ
***71015,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0813,NR,14 SINGER CRT,,,ON
***76986,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0813,NR,1088 ST CLAIR AVE W,,,ON
***29650,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0814,OPP,1718 QUEEN ST E,,,ON
***50820,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0814,NR,151 FRONT ST W,,,ON
***57924,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0814,NR,2694 BLOOR ST W,,,ON
***71730,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0814,NR,3300 DUNDAS ST W,,,ON
***91909,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0814,NR,25 MANSUR TER,,,ON
